country,topic,question,answer,percentage,notes
Albania,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months in employment (when looking for work or at work),Yes,36,""
Austria,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months in employment (when looking for work or at work),Yes,20,""
Belgium,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months in employment (when looking for work or at work),Yes,15,""
Bulgaria,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months in employment (when looking for work or at work),Yes,28,""
Cyprus,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months in employment (when looking for work or at work),Yes,37,""
Czechia,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months in employment (when looking for work or at work),Yes,16,""
Germany,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months in employment (when looking for work or at work),Yes,19,""
Denmark,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months in employment (when looking for work or at work),Yes,13,""
Estonia,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months in employment (when looking for work or at work),Yes,12,""
Greece,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months in employment (when looking for work or at work),Yes,28,""
Spain,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months in employment (when looking for work or at work),Yes,19,""
Finland,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months in employment (when looking for work or at work),Yes,11,""
France,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months in employment (when looking for work or at work),Yes,18,""
Croatia,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months in employment (when looking for work or at work),Yes,19,""
Hungary,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months in employment (when looking for work or at work),Yes,23,""
Ireland,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months in employment (when looking for work or at work),Yes,18,""
Italy,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months in employment (when looking for work or at work),Yes,21,""
Lithuania,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months in employment (when looking for work or at work),Yes,20,""
Luxembourg,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months in employment (when looking for work or at work),Yes,16,""
Latvia,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months in employment (when looking for work or at work),Yes,19,""
North Macedonia,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months in employment (when looking for work or at work),Yes,27,""
Malta,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months in employment (when looking for work or at work),Yes,14,""
Netherlands,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months in employment (when looking for work or at work),Yes,13,""
Poland,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months in employment (when looking for work or at work),Yes,24,""
Portugal,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months in employment (when looking for work or at work),Yes,18,""
Romania,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months in employment (when looking for work or at work),Yes,25,""
Serbia,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months in employment (when looking for work or at work),Yes,24,""
Sweden,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months in employment (when looking for work or at work),Yes,10,""
Slovenia,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months in employment (when looking for work or at work),Yes,13,""
Slovakia,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months in employment (when looking for work or at work),Yes,27,""
EU27,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months in employment (when looking for work or at work),Yes,19,""
‡,small sample size,,,,
¹,not available due to small sample size,,,,
Note:,"Out of all respondents aged 15+ who were at risk of being discriminated when at work or when looking for a job (i.e. in employment) in the past 12 months.|The answer category ""No"" does also include small number of respondents, who answered ""Don't know"" or ""Prefer not to say"".",,,,
Source:,"EU LGBTIQ Survey III, 2023",,,,
Date:,2025-01-15,,,,
Question Code:,D1_3,,,,
Hyperlink:,http://fra.europa.eu/dsense/render/map?indicator=D1_3&dimensionsCombination=answer+X+country+X+year+X+0&unit=percentage&aes_x=country&aes_z=answer&answer=01.%20yes&survey=LGBTIQ&ext=csv,,,,
General Disclaimer of the FRA website:,http://fra.europa.eu/en/terms-and-conditions,,,,
