country,topic,question,answer,percentage,notes
Albania,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months when using healthcare or social services,Yes,17,""
Austria,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months when using healthcare or social services,Yes,12,""
Belgium,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months when using healthcare or social services,Yes,11,""
Bulgaria,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months when using healthcare or social services,Yes,20,""
Cyprus,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months when using healthcare or social services,Yes,21,""
Czechia,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months when using healthcare or social services,Yes,13,""
Germany,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months when using healthcare or social services,Yes,15,""
Denmark,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months when using healthcare or social services,Yes,11,""
Estonia,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months when using healthcare or social services,Yes,6,""
Greece,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months when using healthcare or social services,Yes,20,""
Spain,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months when using healthcare or social services,Yes,15,""
Finland,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months when using healthcare or social services,Yes,8,""
France,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months when using healthcare or social services,Yes,13,""
Croatia,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months when using healthcare or social services,Yes,9,""
Hungary,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months when using healthcare or social services,Yes,21,""
Ireland,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months when using healthcare or social services,Yes,13,""
Italy,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months when using healthcare or social services,Yes,13,""
Lithuania,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months when using healthcare or social services,Yes,18,""
Luxembourg,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months when using healthcare or social services,Yes,11,""
Latvia,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months when using healthcare or social services,Yes,14,""
North Macedonia,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months when using healthcare or social services,Yes,17,""
Malta,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months when using healthcare or social services,Yes,11,""
Netherlands,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months when using healthcare or social services,Yes,8,""
Poland,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months when using healthcare or social services,Yes,19,""
Portugal,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months when using healthcare or social services,Yes,15,""
Romania,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months when using healthcare or social services,Yes,20,""
Serbia,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months when using healthcare or social services,Yes,19,""
Sweden,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months when using healthcare or social services,Yes,9,""
Slovenia,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months when using healthcare or social services,Yes,7,""
Slovakia,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months when using healthcare or social services,Yes,19,""
EU27,Discrimination,Discrimination in areas of life > Felt discriminated in the past 12 months when using healthcare or social services,Yes,14,""
‡,small sample size,,,,
¹,not available due to small sample size,,,,
Note:,"Out of all respondents aged 15+ who were at risk of being discriminated by healthcare or social services personnel when accessing healthcare in the past 12 months.|The answer category ""No"" does also include small number of respondents, who answered ""Don't know"" or ""Prefer not to say"".",,,,
Source:,"EU LGBTIQ Survey III, 2023",,,,
Date:,2025-01-15,,,,
Question Code:,D1_2_d,,,,
Hyperlink:,http://fra.europa.eu/dsense/render/map?indicator=D1_2_d&dimensionsCombination=answer+X+country+X+year+X+0&unit=percentage&aes_x=country&aes_z=answer&answer=01.%20yes&survey=LGBTIQ&ext=csv,,,,
General Disclaimer of the FRA website:,http://fra.europa.eu/en/terms-and-conditions,,,,
